id_a	source_a	name_a	id_b	source_b	name_b	distance_m	name_score
1f35624c-9ce1-4978-9e21-a8144f40e72d	ddproperty	Above Element Condo	ac5b6bdb-16d1-41e2-a813-1a0d523c4222	dotproperty	Above Element	6.9	1.000
06a47b97-6592-4884-9fe9-92ccd234a23e	fazwaz	The Seed Musee	17c1262c-33e1-490a-9bcc-dce0caf2e8b6	dotproperty	The Seed Musee	7.0	1.000
06a47b97-6592-4884-9fe9-92ccd234a23e	fazwaz	The Seed Musee	a97a360a-f10f-49c4-9966-351d9bb255a6	dotproperty	The Seed Musee	7.0	1.000
1232e5ed-4654-4cfa-8ab4-dd8d54e731f4	ddproperty	XT Ekkamai	30876921-8438-46c4-bc27-932c06aea996	dotproperty	XT Ekkamai	7.0	1.000
17a3cb49-9050-4122-8c3a-65120c8955d1	ddproperty	La Citta Delre Thonglor 16	55b63da2-a35e-4906-909f-d5fe585059e4	dotproperty	La Citta Delre Thonglor 16	7.1	1.000
3642581e-d3c9-4005-bd77-7f272ee8ff9b	dotproperty	The Reserve Phahol - Pradipat	8d8a50ad-a405-423d-9594-d73c93e4b24b	fazwaz	The Reserve Phahol-Pradipat	7.3	1.000
6ba1846b-9622-4f4d-a162-55d575bbe7c2	dotproperty	The Reserve Phahol - Pradipat	8d8a50ad-a405-423d-9594-d73c93e4b24b	fazwaz	The Reserve Phahol-Pradipat	7.3	1.000
64fbf675-e395-4fb7-8d5a-b9819ff7d258	ddproperty	Baan Mai Khao	a890b0ad-6f6a-4d5d-b49f-46c3d0b67dd3	dotproperty	Baan Mai Khao	7.4	1.000
51bb3479-fb60-4d65-b1aa-2c8b03912501	fazwaz	SOCIO Reference 61	c0a65515-f02e-4278-96ac-7c860f34d7fa	dotproperty	SOCIO Reference 61	7.5	1.000
2f96bede-38d4-47ae-ba11-97abcd744fa0	dotproperty	The Elegant Ladprao 1	f91e7043-45e9-4f6e-a299-bc72ccf4aea8	fazwaz	The Elegant Ladprao 1	7.5	1.000
b287ef54-8995-4a9b-9106-34a467122c44	dotproperty	The Elegant Ladprao 1	f91e7043-45e9-4f6e-a299-bc72ccf4aea8	fazwaz	The Elegant Ladprao 1	7.5	1.000
1d6108fd-2796-4a5d-ba47-547852564c3d	fazwaz	Q House Condo Sukhumvit 79	6d2fe0be-e192-48d3-bdfd-de34d1d9703f	dotproperty	Q House Condo Sukhumvit 79	7.8	1.000
35f684a9-2037-4065-9c8c-acd6ad3f3524	dotproperty	Lumpini Selected Sutthisan - Saphankwai	a6da76f8-ab53-4be2-988b-20751c2bd730	fazwaz	Lumpini Selected Sutthisan - Saphankwai	7.8	1.000
288fe30d-e1ef-42a7-a13b-63b858f4424d	ddproperty	Royal Phuket Marina	a733a7f3-6d22-44c3-a42f-52c3508134d6	dotproperty	Royal Phuket Marina	7.9	1.000
870368bc-5514-4aa0-ae10-216c28a6c494	ddproperty	Thru Thonglor	c849030f-3ca2-4624-9d61-d652fee63e59	dotproperty	Thru Thonglor	7.9	1.000
429750d2-95a4-4145-beb0-d7a38a216b75	fazwaz	Groove Ratchada - Ladprao	fc2fd201-f7b5-4146-a18f-03aff3a0a3ec	dotproperty	Groove Ratchada - Ladprao	8.4	1.000
4cabaad5-0f71-4b1f-8acb-7c86f9b08488	dotproperty	Quintara Treehaus Sukhumvit 42	8109262a-f095-40bd-90d1-b6215598ebbc	fazwaz	Quintara Treehaus Sukhumvit 42	8.5	1.000
5ef8736c-1129-400a-a774-5224c2e67661	fazwaz	Via ARI	a4df9385-3a3c-4c06-8d97-27d8ae0e0d1b	dotproperty	Via ARI	8.5	1.000
b093fbc9-eecc-4dc7-a577-15bd19427a03	dotproperty	Ideo Ladprao 5	f5b1e628-f5b6-4953-94ef-6588211d642a	fazwaz	Ideo Ladprao 5	8.5	1.000
15487c4a-460d-4bba-8a8f-0105313b95a3	ddproperty	The Regent Bangtao	d0ac07bb-65fa-4006-b2ef-ea3108d01fa2	dotproperty	The Regent Bangtao	8.9	1.000
557aea7f-d4df-4f43-a386-6bba4e5772ba	fazwaz	Lumpini Place Srinakarin	c7dcf3f4-415d-4a2a-9123-3a579e56418d	dotproperty	Lumpini Place Srinakarin	9.0	1.000
